NO,Sp No,Community,Climate Code,Order,Family,Species,Common name,Body size (g),BS rank,Diet,Diet rank,Locomotor mode,Locomotor rank,Other (reference),,What changed in the dataset,
23,344,Cerrado BRA,120,Rodentia,Cricetidae,Oecomys_concolor,,70,2,O,3,A,2,,,,
23,345,Cerrado BRA,120,Rodentia,Cricetidae,Oryzomys_nigripes,,20.5,1,O,3,T,4,,,,
23,346,Cerrado BRA,120,Rodentia,Cricetidae,Oryzomys_fornesi,,18.5,1,O,3,T,4,,,,
23,347,Cerrado BRA,120,Rodentia,Cricetidae,Cerradomys_subflavus,,87.5,2,I,2,T,4,,,,
23,348,Cerrado BRA,120,Rodentia,Cricetidae,Oxymycterus_roberti,RobertÍs Hocicudo,75,2,O,3,T,4,,,,
23,349,Cerrado BRA,120,Rodentia,Cricetidae,Rhipidomys_mastacalis,long-tailed climbing mouse,75,2,O,3,A,2,,,,
23,350,Cerrado BRA,120,Rodentia,Cricetidae,Thalpomys_lasiotis,hairy-eared cerrado mouse,23.5,1,O,3,T,4,,,,
23,351,Cerrado BRA,120,Rodentia,Erethizontidae,Coendou_prehensilis,Brazilian porcupine,3000,5,H,6,A,2,,,,
23,352,Cerrado BRA,120,Rodentia,Caviidae,Cavia_aperea,Brazilian guinea pig,700,4,H,6,C,4,,,,
23,353,Cerrado BRA,120,Rodentia,Dasyproctidae,Dasyprocta_leporina,Common agouti,2100,5,H,6,C,4,,,,
23,354,Cerrado BRA,120,Rodentia,Echimyidae,Proechimys_cuvieri,South American spiny rats,325,3,H,6,T,4,,,,
23,355,Cerrado BRA,120,Rodentia,Echimyidae,Thrichomys_apereoides,Common punar_,285,3,H,6,T,4,,,,
24,356,S. Atherton Tableland AU,110,Dasyuromorphia,Dasyuridae,Antechinus_godmani,Broad-footed marsupial mouse,57,2,C,1,T,4,Nowak 1999: 48,,,
24,357,S. Atherton Tableland AU,110,Dasyuromorphia,Dasyuridae,Antechinus_stuartii,Broad-footed marsupial mouse,30.8,1,C,1,T,4,Nowak 1999: 48,,,
24,358,S. Atherton Tableland AU,110,Dasyuromorphia,Dasyuridae,Antechinus_flavipes,Broad-footed marsupial mouse,57,2,C,1,Sc,3,Nowak 1999: 48,,,
24,359,S. Atherton Tableland AU,110,Rodentia,Muridae,Melomys_cervinipes,Mosaic-tailed mouse,115,2,F,5,A,2,Nowak 1999: 1548,,,
24,360,S. Atherton Tableland AU,110,Rodentia,Muridae,Melomys_burtoni,Mosaic-tailed mouse,115,2,F,5,Sc,3,Nowak 1999: 1548,,,
24,361,S. Atherton Tableland AU,110,Rodentia,Muridae,Rattus_lutreolus,Swap Rat,116.5,2,O,3,T,4, (Taylor and Calaby 1988),,,
24,362,S. Atherton Tableland AU,110,Rodentia,Muridae,Rattus_sordidus,Canefield Rat,107.5,2,O,3,Sc,3,Nowak 1999: 1519,,,
24,363,S. Atherton Tableland AU,110,Rodentia,Muridae,Uromys_caudimaculatus,Giant naked-talied rat,735,4,G,5,A,2,Nowak 1999: 1546,,,
24,364,S. Atherton Tableland AU,110,Diprotodontia,Potoroidae,Aepyprymnus_rufescens,Rufous Rat-kangaroo,2480,5,H,6,S,8,Nowak 1999: 103,,,
24,365,S. Atherton Tableland AU,110,Peramelemorphia,Peramelidae,Isoodon_macrourus,Short-nosed bandicoot,1800,4,I,2,T,4,Nowak 1999: 74,,,
25,366,South-western Kalahari BSW,221,Rodentia,Sciuridae,Xerus_inauris,South African ground squirrel,536,4,H,6,T,4,Nowak 1999:1262,,,
25,367,South-western Kalahari BSW,221,Lagomorpha,Leporidae,Lepus_capensis,Jack hare,2950,5,H,6,T,4,Nowak 1999: 1736,,,
25,368,South-western Kalahari BSW,221,Lagomorpha,Leporidae,Pedetes_capensis,South African spring hare,3150,5,H,6,S,8,Nowak 1999: 1620,,,
25,369,South-western Kalahari BSW,221,Carnivora,Herpestidae,Mungos_mungo,banded mongoose,1300,4,C,1,T,4,Nowak 1999: 774,,,
25,370,South-western Kalahari BSW,221,Carnivora,Herpestidae,Galerella_sanguinea,slender mongoose,600,4,C,1,Sc,3,Nowak 1999: 774,,,
25,371,South-western Kalahari BSW,221,Carnivora,Herpestidae,Suricata_suricatta,meerkat,800,4,C,1,F,7,"Nowak, 1999: 784",,,
25,372,South-western Kalahari BSW,221,Carnivora,Herpestidae,Cynictis_penicillata,yellow mongoose,700,4,C,1,F,7,"Nowak, 1999: 782",,,
25,373,South-western Kalahari BSW,221,Carnivora,Viverridae,Genetta_genetta,small-spotted genet,2050,5,C,1,Sc,3,"Nowak, 1999: 753",,,
25,374,South-western Kalahari BSW,221,Carnivora,Mustelidae ,Ictonyx_striatus,Striped Polecat,950,4,C,1,T; Sc; Sq,4,"Nowak, 1999: 723",,,
25,375,South-western Kalahari BSW,221,Carnivora,Felidae ,Felis_catus,Wildcat,4750,5,C,1,Sc,3,"Nowak, 1999: 639",,,
25,376,South-western Kalahari BSW,221,Carnivora,Canidae,Vulpes_chama,Cape fox,3250,5,C,1,T,4,Nowak 1999: 642,,,
25,377,South-western Kalahari BSW,221,Carnivora,Canidae,Otocyon_megalotis,bat-eared fox,4000,5,I,2,Sf,6,Nowak 1999: 674,,,
26,378,eKundizei Farm SWL,321,Rodentia,Muridae,Mastomys_natalensis,Natal multimammate mouse,50,2,H,6,T,4,Nowak 1999,Kingdon et al 2013: Mammals of Africa,,
26,379,eKundizei Farm SWL,321,Rodentia,Muridae,Lemniscomys_rosalia,Single-striped grass mouse,42,2,H; G; I (Nowak 1999),6,T (Nowak 1999),4,,,,
26,380,eKundizei Farm SWL,321,Rodentia,Muridae,Mus_minutoides,African pygmy mouse,7.25,1,O (Nowak 1999),3,Sf (Nowak 1999),6,,,,
26,381,eKundizei Farm SWL,321,Rodentia,Muridae,Aethomys_chrysophilus,Red rock rat,106.5,2,G (Nowak 1999),4,A (partically; Nowak 1999),2,,,,
26,382,eKundizei Farm SWL,321,Rodentia,Muridae,Otomys_angoniensis,Angoni vlei rat,157.5,3,H (Nowak 1999),6,T; Sq (Nowak 1999),4,,,,
26,383,eKundizei Farm SWL,321,Rodentia,Nesomyidae,Steatomys_pratensis,Fat mouse,37.5,2,G (Kingdon et al 2013: 200),4,Sf (Nowak 1999),6,,,,
26,384,eKundizei Farm SWL,321,Rodentia,Nesomyidae,Dendromus_mystacalis,Chestnut Climbing Mouse,13,1,O (Nowak 1999),3,Sc (Nowak 1999),3,,,,
26,385,eKundizei Farm SWL,321,Soricomorpha,Soricidae,Crocidura_hirta,lesser red musk shrew,15.6,1,C (Nowak 1999:221),1,T (Kingdon et al 2013:89),4,,,,
27,386,Parque Estadual do Turvo BRA,331,Didelphimorphia,Didelphidae,Didelphis_aurita,big-eared opossum,2750,5,O,3,Sc,3,Nowak 1999; 30,,,
27,387,Parque Estadual do Turvo BRA,331,Didelphimorphia,Didelphidae,Gracilinanus_microtarsus,Guahyba gracile opossum,31,1,O (Nowak 1999: 20),3,Sc,3,Gardner 2008 (name),,,
27,388,Parque Estadual do Turvo BRA,331,Didelphimorphia,Didelphidae,Micoureus_paraguayanus,TateÍs Woolly Mouse Opossum,124.5,2,insectivorous-omnivorous (Casella and Càceres 2006),2,A,2,,,,
27,389,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Akodon_montensis,Montane Grass Mouse,38,2,"O (Vieira et al., 2006)",3,T,4,,,,
27,390,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Oligoryzomys_nigripes,black-footed pygmy rice rat,24.5,1,O,3,Sc,3,Nowak 1999: 1369,,,
27,391,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Brucepattersonius_iheringi,Ihering's akodont,20,1,I (Nowak 1999: 1394),2,Sf,6,,,,
27,392,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Thaptomys_nigrita,blackish grass mouse,20,1,O (Pinotti et al 2011),3,Sf ,6,,,,
27,393,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Oryzomys_angouya,rat-headed rice rat,144,3,O,3,Sc,3,Nowak 1999: 1367,,,
27,394,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Oxymycterus_quaestor,hocicudo,75,2,I,2,Sf,6,Nowak 1999: 1394,,,
27,395,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Oryzomys_russatus,Russet Rice Rat,59,2,I (Naxara et al 2009),2,T,4,,,,
27,396,Parque Estadual do Turvo BRA,331,Rodentia,Cricetidae,Juliomys_pictipes,Contreras' juliomys,30.5,1,F (Vieira et 2003),5,"A(3,5)",2,,,,
27,397,Parque Estadual do Turvo BRA,331,Rodentia,Echimyidae,Kannabateomys_amblyonyx,Atlantic bamboo rat,460,3,H,6,A(4),2,Nowak 1999: 1700,,,
28,398,USK Namaqua National Park SA,222,Rodentia,Muridae,Aethomys_namaquensis,Namaqua rock rat,55.5,2,64.6 26.1 9.3: G,4,Sc,3,Nowak 1999: 1601,,,Seeds Foliage Insects 
28,399,USK Namaqua National Park SA,222,Rodentia,Muridae,Gerbillurus_paeba,Southern Pygmy Gerbils,28.5,1,57 22 21: G,4,T,4,Nowak 1999: 1449,,,"Contribution (mean % volume) of seeds (white material), foliage (green material) and insects (brown material) to the diet  "
28,400,USK Namaqua National Park SA,222,Rodentia,Nesomyidae,Petromyscus_barbouri,rock mouse,20,1,90.67 1.67 7.67: O,4,"T (Kingdon et al, 2013:205)",4,Nowak 1999: 1492,,,
28,401,USK Namaqua National Park SA,222,Macroscelidea,Macroscelididae,Elephantulus_edwardii,Cape rock elephant shrew,42.5,2,27.25 28.5 44.25: I,2,T,4,Nowak 1999:1744,,,
29,402,DRS Namaqua National Park SA,222,Rodentia,Muridae,Gerbillurus_paeba,Southern Pygmy Gerbils,28.5,1,57 22 21: G,4,T,4,Nowak 1999: 1449,,,"Contribution (mean % volume) of seeds (white material), foliage (green material) and insects (brown material) to the diet  "
29,403,DRS Namaqua National Park SA,222,Rodentia,Muridae,Mus_minutoides,African pygmy mouse,7.25,1,O,3,Sf,6,Nowak 1999: 1606,,,
30,404,NWMR Namaqua National Park SA,222,Rodentia,Muridae,Aethomys_namaquensis,Namaqua rock rat,55.5,2,64.6 26.1 9.3: G,4,Sc,3,Nowak 1999: 1601,,,Seeds Foliage Insects 
30,405,NWMR Namaqua National Park SA,222,Rodentia,Muridae,Gerbillurus_paeba,Southern Pygmy Gerbils,28.5,1,57 22 21: G,4,T,4,Nowak 1999: 1449,,,"Contribution (mean % volume) of seeds (white material), foliage (green material) and insects (brown material) to the diet  "
30,406,NWMR Namaqua National Park SA,222,Macroscelidea,Macroscelididae,Elephantulus_edwardii,Cape rock elephant shrew,42.5,2,27.25 28.5 44.25: I,2,T,4,Nowak 1999:1744,,,
31,407,"Parque Nacional Fray Jorge, Coquimbo, CHI",212,Rodentia,Cricetida ,Abrothrix_olivaceus,Olive Grass Mouse,43.5,2,O,3,Sc,3,Nowak 1999: 1391,,,
31,408,"Parque Nacional Fray Jorge, Coquimbo, CHI",212,Rodentia,Cricetida ,Abrothrix_longipilis,Long-haired Grass Mouse,37.5,2,I,2,Sf,6,Nowak 1999: 1391,,,
31,409,"Parque Nacional Fray Jorge, Coquimbo, CHI",212,Rodentia,Cricetida ,Phyllotis_darwini,Darwin's leaf-eared mouse,60,2,G,4,T,4,Nowak 1999: 1406,,,
31,410,"Parque Nacional Fray Jorge, Coquimbo, CHI",212,Rodentia,Octodontidae ,Octodon_degus,degu,285,3,O,3,Sf,6,Nowak 1999: 1681,,,
32,411,"Fundo San Carlos de Apoquindo, Los Dominicos, CHI",312,Rodentia,Abrocomidae,Abrocoma_bennetti,Chinchilla rat,265.5,3,H,6,Sc,3,Nowak 1999: 1687,,,
32,412,"Fundo San Carlos de Apoquindo, Los Dominicos, CHI",312,Rodentia,Cricetida ,Abrothrix_olivaceus,Olive-colored Akodont,43.5,2,O,3,Sc,3,Nowak 1999: 1391,,,
32,413,"Fundo San Carlos de Apoquindo, Los Dominicos, CHI",312,Didelphimorphia,Marmosidae,Thylamys_pallidior,Southern Mouse opossums,36.5,2,I,2,Sc,3,Nowak 1999: 23,,,
32,414,"Fundo San Carlos de Apoquindo, Los Dominicos, CHI",312,Rodentia,Octodontidae,Octodon_degus,degus,235,3,O,3,Sf,6,Nowak 1999:1681,,,
32,415,"Fundo San Carlos de Apoquindo, Los Dominicos, CHI",312,Rodentia,Muridae,Oryzomys_longicaudatus,Rice mouse,28,2,G,4,T,4,Meserve et al 1988),Andrades-Miranda et al 2001),,
32,416,"Fundo San Carlos de Apoquindo, Los Dominicos, CHI",312,Rodentia,Muridae,Phyllotis_darwini,Leaf-eared mouse,60,2,G,4,T,4,Nowak 1999: 1406,,,
33,417,"Shenandoah Mountain, VA",331,Soricomorpha,Soricidae,Blarina_brevicauda,northern short-tailed shrew,25,1,I,2,T,4,,,,
33,418,"Shenandoah Mountain, VA",331,Soricomorpha,Soricidae,Sorex_cinereus,masked shrew,10,1,I,2,T,4,,,,
33,419,"Shenandoah Mountain, VA",331,Soricomorpha,Soricidae,Sorex_dispar,long-tailed shrew,10.05,1,C,1,T,4,,,,
33,420,"Shenandoah Mountain, VA",331,Soricomorpha,Soricidae,Sorex_hoyi,American pygmy shrew,10.05,1,C,1,T,4,,,,
33,421,"Shenandoah Mountain, VA",331,Rodentia,Cricetidae,Myodes_gapperi,southern -backed vole,35,2,H,6,T,4,,,,
33,422,"Shenandoah Mountain, VA",331,Rodentia,Cricetidae,Microtus_pennsylvanicus,meadow vole,49,2,H,6,T,4,Nowak 1999: 1473,,,
33,423,"Shenandoah Mountain, VA",331,Rodentia,Cricetidae,Peromyscus_leucopus,white-footed mouse,,1,O,3,Sc,3,Lackey et al 1985,,,
33,424,"Shenandoah Mountain, VA",331,Rodentia,Cricetidae,Peromyscus_maniculatus,deer mouse,30,1,O,3,Sc,3,,,,
33,425,"Shenandoah Mountain, VA",331,Rodentia,Cricetidae,Synaptomys_cooperi,southern bog lemming,35.7,2,H,6,Sf,6,Linzey 1983; Nowak 1999: 1483),Nowak 1999: 1483),,
33,426,"Shenandoah Mountain, VA",331,Rodentia,Dipodidae,Napaeozapus_insignis,woodland jumping mouse,30,1,O,3,T,4,,,,
33,427,"Shenandoah Mountain, VA",331,Rodentia,Sciuridae,Tamias_striatus,eastern chipmunk,130,3,O,3,Sc,3,70-142 (Nowak 1999),,,
34,428,"Zhang County, Gansu CHN",311,Soricomorpha,Soricidae,Sorex_sinalis,Chinese shrew,10.5,1,O,3,T,4,Nowak 1999: 206,,,
34,429,"Zhang County, Gansu CHN",311,Soricomorpha,Soricidae,Anourosorex_squamipes,Chinese mole shrew,14.5,1,I ,2,F,7,Nowak 1999:217,,,
34,430,"Zhang County, Gansu CHN",311,Rodentia,Dipodidae,Eozapus_setchuanus,Chinese jumping mouse,17.5,1,H,6,S,8,Nowak 1999: 1332,,,
34,431,"Zhang County, Gansu CHN",311,Rodentia,Cricetidae,Microtus_limnophilus,,100,2,H,6,T,4,"Based on Nowak 1999: 1470; Smith Xie 2010, 2013",,,
34,432,"Zhang County, Gansu CHN",311,Rodentia,Cricetidae,Cricetulus_longicaudatus,Long-tailed dwarf hamster,22.1,1,G,4,Sf,6,Nowak 1999: 1422,,,
34,433,"Zhang County, Gansu CHN",311,Rodentia,Cricetidae,Tscherskia_triton,Greater long-tailed hamster,166.5,3,G,4,F,7,Nowak 1999: 1422,(Smith et al 2010: 247),,
34,434,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Apodemus_agrarius,striped field mouse,25.1,1,O,3,Sc,3,Nowak 1999: 1500,,,
34,435,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Apodemus_draco,South China field mouse,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
34,436,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Apodemus_peninsulae,Korean field mouse,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
34,437,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Mus_musculus,House mouse,14.6,1,I,2,T,4,Nowak 1999: 1607,,,
34,438,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Niviventer_confucianus,Chinese white-bellied rat,65,2,O,3,T,4,Nowak 1999: 1573,,,
34,439,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Micromys_minutus,Eurasian harvest mouse,6,1,O,3,Sc,3,Nowak 1999: 1504,,,
34,440,"Zhang County, Gansu CHN",311,Rodentia,Muridae,Rattus_norvegicus,Brown rat,297.5,3,O,3,T,4,Verts and Carraway 1998: 290,,,
34,441,"Zhang County, Gansu CHN",311,Rodentia,Spalacidae,Eospalax_fontanierii,Chinese zokor,356,3,G,4,F,7,Nowak 1999: 1429,,,
34,442,"Zhang County, Gansu CHN",311,Lagmorpha,Ochotonidae,Ochotona_thibetana,Moupin pika,83.1,2,H,6,T,4,Nowak 1999: 1718,,,
35,443,"Yeketerinburg, RU",432,Soricomorpha,Soricidae,Sorex_araneus,northern short-tailed shrew,10.5,1,O,3,T,4,Nowak 1999: 206,,,
35,444,"Yeketerinburg, RU",432,Rodentia,Cricetidae,Microtus_arvalis,meadow vole,73.5,2,H,6,T,4,Nowak 1999:1473,,,
35,445,"Yeketerinburg, RU",432,Rodentia,Cricetidae,Microtus_oeconomus,root vole,80,2,H,6,T,4,Sf (Nowak 1999),,,
35,446,"Yeketerinburg, RU",432,Rodentia,Cricetidae,Microtus_agrestis,short-tailed vole,73.5,2,H,6,T,4,Nowak 1999:1473,,,
35,447,"Yeketerinburg, RU",432,Rodentia,Cricetidae,Myodes_glareolus,bank vole,27.5,1,O,3,T,4,Nowak 1999:1460,,,
35,448,"Yeketerinburg, RU",432,Rodentia,Cricetidae,Myodes_rutilus,ruddy vole,35,2,H,6,T,4,15-40 (Nowak 1999; whole genus),,,
35,449,"Yeketerinburg, RU",432,Rodentia,Dipodidae,Sicista_betulina,northern birch mouse ,27.5,2,O,3,T,4,Nowak 1999:1460,,,
35,450,"Yeketerinburg, RU",432,Rodentia,Muridae,Apodemus_agrarius,the field mouse ,25.1,1,O,3,Sc,3,Nowak 1999: 1500,,,
36,451,"Ambohitsitondroina, MDGSR",110,Rodentia,Nesomyidae,Eliurus_minor,lesser tufted-tailed rat,35.1,2,G,4,T,4,"Body size(Garbutt, 1999; Goodman and Benstead, 2003)",,,
36,452,"Ambohitsitondroina, MDGSR",110,Rodentia,Nesomyidae,Eliurus_tanala,tufted-tailed rat,69,2,G,4,A,2,Nowak 1999: 1435,,,
36,453,"Ambohitsitondroina, MDGSR",110,Rodentia,Nesomyidae,Eliurus_webbi,tufted-tailed rat,69,2,G,4,A,2,Nowak 1999: 1435,,,
36,454,"Ambohitsitondroina, MDGSR",110,Rodentia,Muridae,Nesomys_audeberti,Malagasy rats,215,3,G,4,T,4,Nowak 1999: 1434,,,
36,455,"Ambohitsitondroina, MDGSR",110,Afrosoricida,Tenrecidae,Microgale_cowani,Cowan's shrew tenrec,11.5,1,I,2,T,4,Nowak 1999: 190,,,
36,456,"Ambohitsitondroina, MDGSR",110,Afrosoricida,Tenrecidae,Microgale_parvula,dark shrew tenrec,47.8,2,I,2,Sc,3,Nowak 1999: 190,,,
36,457,"Ambohitsitondroina, MDGSR",110,Afrosoricida,Tenrecidae,Microgale_taiva, shrew tenrec,47.8,2,I,2,Sc,3,Nowak 1999: 190,,,
36,458,"Ambohitsitondroina, MDGSR",110,Afrosoricida,Tenrecidae,Microgale_talazaci,Talazac's shrew tenrec,50,2,I,2,Sc,3,Nowak 1999: 190,,,
36,459,"Ambohitsitondroina, MDGSR",110,Afrosoricida,Tenrecidae,Setifer_setosus,Madagascan hedgehog,225,3,O,3,T,4,Nowak 1999:195,,,
37,460,"Andranobe, MDGSR",110,Rodentia,Nesomyidae,Eliurus_webbi,tufted-tailed rat,69,2,G,4,A,2,Nowak 1999: 1435,,,
37,461,"Andranobe, MDGSR",110,Rodentia,Muridae,Nesomys_audeberti,Malagasy rats,215,3,G,4,T,4,Nowak 1999: 1434,,,
37,462,"Andranobe, MDGSR",110,Afrosoricida,Tenrecidae,Microgale_talazaci,Talazac's shrew tenrec,50,2,I,2,Sc,3,Nowak 1999: 190,,,
37,463,"Andranobe, MDGSR",110,Afrosoricida,Tenrecidae,Setifer_setosus,Madagascan hedgehog,225,3,O,3,T,4,Nowak 1999:195,,,
37,464,"Andranobe, MDGSR",110,Afrosoricida,Tenrecidae,Tenrec_ecaudatus,tailless tenrec,2000,4,O,3,T,4,Nowak 1999:193,,,
38,465,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Chiropodomys_major,Large pencil-tailed tree mouse ,29,1,H,6,A,2,Nowak 1999: 1502,,,
38,466,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Leopoldamys_sabanus,long-tailed giant rat,347.5,3,O,3,Sc,3,Nowak 1999: 1575,,,
38,467,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Maxomys_baeodon,Small spiny rat ,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
38,468,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Maxomys_rajah,Brown spiny rat ,159.5,3,H,6,T,4,Nowak 1999: 1574,,,
38,469,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Maxomys_surifer,red spiny rat,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
38,471,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Maxomys_whiteheadi,WhiteheadÍs rat,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
38,472,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Niviventer_cremoriventer,Dark-tailed tree rat ,91,2,O,3,Sc ,3,Wells  et al 2007,,,
38,473,"Danum Valle, Sabah MYS",110,Rodentia,Muridae ,Rattus_rattus,Roof rat ,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
38,474,"Danum Valle, Sabah MYS",110,Sciuridae ,Muridae ,Sundamys_muelleri,MullerÍs rat ,424.5,3,O,3,T,4,Nowak 1999: 1506,,,
38,475,"Danum Valle, Sabah MYS",110,Sciuridae ,Muridae ,Sundasciurus_hippurus,Horse-tailed squirrel ,359,3,F,5,Sc,3,Nowak 1999: 1287,,,
38,476,"Danum Valle, Sabah MYS",110,Sciuridae ,Muridae ,Sundasciurus_lowii,LowÍs squirrel ,67,2,F,5,T,4,Nowak 1999: 1287,,,
38,477,"Danum Valle, Sabah MYS",110,Scandentia,Tupaiidae,Tupaia_gracilis,Slender treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
38,478,"Danum Valle, Sabah MYS",110,Scandentia,Tupaiidae,Tupaia_longipes,Plain treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
38,479,"Danum Valle, Sabah MYS",110,Scandentia,Tupaiidae,Tupaia_minor,Lesser treeshrew ,200,3,I,2,A,2,"Nowak 1999: 245; Sargis, 2001; Kirk et al., 2008",,,
38,480,"Danum Valle, Sabah MYS",110,Scandentia,Tupaiidae,Tupaia_tana,Large treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
38,481,"Danum Valle, Sabah MYS",110,Carnivora,Viverridae,Paradoxurus_hermaphroditus,Asian palm civet,3000,5,O,3,A,2,Average BS (ADW); Nowak 1999:758,,,
38,482,"Danum Valle, Sabah MYS",110,Carnivora,Viverridae,Viverra_tangalunga,Malayan civet,8000,5,O,3,T,4,Nowak1999: 570,,,
39,483,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Leopoldamys_sabanus,long-tailed giant rat,347.5,3,O,3,Sc,3,Nowak 1999: 1575,,,
39,484,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Maxomys_baeodon,Small spiny rat ,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
39,485,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Maxomys_rajah,Brown spiny rat ,159.5,3,H,6,T,4,Nowak 1999: 1574,,,
39,486,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Maxomys_surifer,red spiny rat,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
39,488,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Maxomys_whiteheadi,WhiteheadÍs rat,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
39,489,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Niviventer_cremoriventer,Dark-tailed tree rat ,91,2,O,3,Sc ,3,Wells  et al 2007,,,
39,490,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Rattus_rattus,Roof rat ,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
39,491,Tawau Hills NP Sabah MYS,110,Rodentia,Muridae ,Sundamys_muelleri,MullerÍs rat ,424.5,3,O,3,T,4,Nowak 1999: 1506,,,
39,492,Tawau Hills NP Sabah MYS,110,Rodentia,Sciuridae ,Lariscus_hosei,Malaysian ground squirrel,200,3,H,6,T,4,Average BS (ADW); Nowak 1999:1289,,,
39,493,Tawau Hills NP Sabah MYS,110,Rodentia,Sciuridae ,Callosciurus_prevostii,Prevost's squirrel,3,3,O,3,A,2,Nowak 1999: 1284,,,
39,494,Tawau Hills NP Sabah MYS,110,Rodentia,Sciuridae ,Sundasciurus_hippurus,Horse-tailed squirrel ,359,3,F,5,Sc,3,Nowak 1999: 1287,,,
39,495,Tawau Hills NP Sabah MYS,110,Rodentia,Sciuridae ,Sundasciurus_lowii,LowÍs squirrel ,67,2,F,5,T,4,Nowak 1999: 1287,,,
39,496,Tawau Hills NP Sabah MYS,110,Rodentia,Hystricidae,Trichys_fasciculata,long-tailed porcupine,2000,4,H,6,Sc,3,Nowak 1999:1644,,,
39,497,Tawau Hills NP Sabah MYS,110,Rodentia,Erinacaeidae,Echinosorex_gymnura,moonrat,1250,4,O,3,T,4,The reported diet is controversy; Nowak 1999: 173,,,
39,498,Tawau Hills NP Sabah MYS,110,Scandentia,Tupaiidae,Tupaia_gracilis,Slender treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
39,499,Tawau Hills NP Sabah MYS,110,Scandentia,Tupaiidae,Tupaia_longipes,Plain treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
39,500,Tawau Hills NP Sabah MYS,110,Scandentia,Tupaiidae,Tupaia_minor,Lesser treeshrew ,200,3,I,2,A,2,"Nowak 1999: 245; Sargis, 2001; Kirk et al., 2008",,,
39,501,Tawau Hills NP Sabah MYS,110,Scandentia,Tupaiidae,Tupaia_tana,Large treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
39,502,Tawau Hills NP Sabah MYS,110,Carnivora,Viverridae,Arctogalidia_trivirgata,small-toothed palm civet,1500,4,O,3,A,2,Nowak 1999:758,,,
39,503,Tawau Hills NP Sabah MYS,110,Carnivora,Viverridae,Paradoxurus_hermaphroditus,Asian palm civet,3000,5,O,3,A,2,Average BS (ADW); Nowak 1999:758,,,
40,504,Paluma Queensland AU,110,Rodentia,Muridae,Rattus_fuscipes,bush rat,125,2,O,3,T,4,See below; ,,,
40,505,Paluma Queensland AU,110,Rodentia,Muridae,Rattus_lutreolus,Swap Rat,116.5,2,O,3,T,4, (Taylor and Calaby 1988),,,
40,506,Paluma Queensland AU,110,Rodentia,Muridae,Melomys_cervinipes,Mosaic-tailed mouse,115,2,F,5,A,2,Nowak 1999: 1548,,,
40,507,Paluma Queensland AU,110,Rodentia,Muridae,Uromys_caudimaculatus,Giant naked-talied rat,735,4,G,4,A,2,Nowak 1999: 1546,,,
40,508,Paluma Queensland AU,110,Dasyuromorphia,Dasyuridae,Antechinus_flavipes,yellow-footed antechinus,57,2,C,1,Sc,3,Nowak 1999: 47,,,
40,509,Paluma Queensland AU,110,Dasyuromorphia,Dasyuridae,Antechinus_stuartii,brown antechinus,30.8,1,C,1,T,4,Nowak 1999: 48,,,
