NO,Sp No,Community,Climate Code,Order,Family,Species,Common name,Body size (g),BS rank,Diet,Diet rank,Locomotor mode,Locomotor rank,Other (reference),,What changed in the dataset,
8,92,Fort AP Hill VA,331,Rodentia,Cricetidae,Peromyscus_leucopus,White-footed mouse,,1,O,3,Sc,3,Lackey et al 1985,,,
8,93,Fort AP Hill VA,331,Rodentia,Cricetidae,Microtus_pennsylvanicus,vole,49,2,H,6,T,4,Nowak 1999: 1473,,,
8,94,Fort AP Hill VA,331,Rodentia,Cricetidae,Microtus_pinetorum,woodland vole,35,2,H,6,T,4,,,,
8,95,Fort AP Hill VA,331,Rodentia,Dipodidae,Zapus_hudsonius,meadow jumping mouse,16.5,1,O,3,S,8,Nowak 1999: 1331,,,
9,96,GPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_daurrica,Daurian pika ,109,2,H,6,T,4,Nowak 1999: 1718,,,
9,97,GPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_thibetana,,83.1,2,H,6,T,4,Nowak 1999: 1718,The geographic area is large so I assume is over the home ranges of those small mammals. The individual number is the number of capture since three sites are distant from each other,,
9,98,GPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_erythrotis,,181,3,H,6,T,4,Nowak 1999: 1718,,,
9,99,GPS Mt Qilian,333,Rodentia,Sciuridae,Spermophilus_dauricus,Ground Squirrel,161.3,3,O,3,T,4,Nowak 1999: 1256,,,
9,100,GPS Mt Qilian,333,Rodentia,Sciuridae,Tamias_sibiricus,Chpmunks,90.3,2,O,3,Sc,3,Nowak 1999: 1249,,,
9,101,GPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_barabensis,,24.8,1,G,4,Sf,6,Nowak 1999: 1422,,,
9,102,GPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_longicaudatus,,22.1,1,G,4,Sf,6,Nowak 1999: 1422,,,
9,103,GPS Mt Qilian,333,Rodentia,Muridae,Alticola_roylei,High Mountain Vole,22.6,1,H,6,T,4,Nowak 1999: 1463,,,
9,104,GPS Mt Qilian,333,Rodentia,Muridae,Apodemus_agrarius,,25.1,1,O,3,Sc,3,Nowak 1999: 1500,,,
9,105,GPS Mt Qilian,333,Rodentia,Muridae,Apodemus_speciosus,,33.8,2,O,3,Sc,3,Nowak 1999: 1500,,,
9,106,GPS Mt Qilian,333,Rodentia,Muridae,Mus_musculus,,14.6,1,I,2,T,4,Nowak 1999: 1607,,,
9,107,GPS Mt Qilian,333,Rodentia,Cricetidae,Microtus_oeconomus,,23.6,1,H,6,T,4,,,,
10,108,XPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_daurrica,Daurian pika ,109,2,H,6,T,4,Nowak 1999: 1718,,,
10,109,XPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_thibetana,,83.1,2,H,6,T,4,Nowak 1999: 1718,The geographic area is large so I assume is over the home ranges of those small mammals. The individual number is the number of capture since three sites are distant from each other,,
10,110,XPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_migratorius,Ratlike Hamster,38.5,2,G,4,Sf,6,Nowak 1999: 1422,,,
10,111,XPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_barabensis,,24.8,1,G,4,Sf,6,Nowak 1999: 1422,,,
10,112,XPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_longicaudatus,,22.1,1,G,4,Sf,6,Nowak 1999: 1422,,,
10,113,XPS Mt Qilian,333,Rodentia,Cricetidae,Microtus_oeconomus,,23.6,1,H,6,T,4,,,,
10,114,XPS Mt Qilian,333,Rodentia,Muridae,Meriones_meridianus,Jird,62.1,2,H,6,Sf,6,Nowak 1999: 1456,,,
10,115,XPS Mt Qilian,333,Rodentia,Dipodidae,Dipus_sagitta,Northern three-toed jerbora,82.3,2,H,6,S,8,Nowak 1999: 1338,,,
10,116,XPS Mt Qilian,333,Rodentia,Dipodidae,Allactaga_sibirica,Five-toed jerboa,97.5,2,I,2,S,8,Nowak 1999: 1342,,,
10,117,XPS Mt Qilian,333,Rodentia,Dipodidae,Cardiocranius_paradoxus,Five-toed dwarf jerboa,8.6,1,G,4,S,8,Nowak 1999: 1333,,,
11,118,JPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_daurrica,Daurian pika ,109,2,H,6,T,4,Nowak 1999: 1718,,,
11,119,JPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_thibetana,,83.1,2,H,6,T,4,Nowak 1999: 1718,The geographic area is large so I assume is over the home ranges of those small mammals. The individual number is the number of capture since three sites are distant from each other,,
11,120,JPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_migratorius,Ratlike Hamster,38.5,2,G,4,Sf,6,Nowak 1999: 1422,,,
11,121,JPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_barabensis,,24.8,1,G,4,Sf,6,Nowak 1999: 1422,,,
11,122,JPS Mt Qilian,333,Rodentia,Muridae,Alticola_roylei,High Mountain Vole,22.6,1,H,6,T,4,Nowak 1999: 1463,,,
11,123,JPS Mt Qilian,333,Rodentia,Muridae,Mus_musculus,,14.6,1,I,2,T,4,Nowak 1999: 1607,,,
11,124,JPS Mt Qilian,333,Rodentia,Muridae,Meriones_meridianus,Jird,62.1,2,H,6,Sf,6,Nowak 1999: 1456,,,
11,125,JPS Mt Qilian,333,Rodentia,Dipodidae,Dipus_sagitta,Northern three-toed jerbora,82.3,2,H,6,S,8,Nowak 1999: 1338,,,
11,126,JPS Mt Qilian,333,Rodentia,Dipodidae,Allactaga_sibirica,Five-toed jerboa,97.5,2,I,2,S,8,Nowak 1999: 1342,,,
12,127,Ningxia CHN,312,Rodentia,Cricetidae ,Eothenomys_melanogaster,Pratt's vole,27.5,1,H,6,F,7,Nowak 1999: 1462,"(Yom-Tov and Yom-Tov, 2004)",Smith et al 2010: A guide to the mammals of China,
12,128,Ningxia CHN,312,Rodentia,Cricetidae ,Cricetulus_longicaudatus,Long-tailed dwarf hamster ,31.5,1,H,6,F,7,Nowak 1999: 1422,,,
12,129,Ningxia CHN,312,Rodentia,Cricetidae ,Tscherskia_triton,Greater long-tailed hamster ,166.5,3,G ,4,F,7,Nowak 1999: 1422,(Smith et al 2010: 247),,
12,130,Ningxia CHN,312,Rodentia,Muridae ,Apodemus_agrarius,Striped field mouse ,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
12,131,Ningxia CHN,312,Rodentia,Muridae ,Apodemus_peninsulae,Korean field mouse ,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
12,132,Ningxia CHN,312,Rodentia,Muridae ,Apodemus_draco,,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
12,133,Ningxia CHN,312,Rodentia,Muridae ,Mus_musculus,House mouse ,21,1,I,2,T,4,Nowak 1999: 1607,,,
12,134,Ningxia CHN,312,Rodentia,Muridae ,Niviventer_confucianus,Confucian niviventer ,65,2,O,3,T,4,Nowak 1999: 1573,,,
12,135,Ningxia CHN,312,Rodentia,Muridae ,Rattus_rattus,Roof rat ,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
12,136,Ningxia CHN,312,Rodentia,Dipodidae ,Eozapus_setchuanus,Chinese jumping mouse ,17.5,1,H,6,S,8,Nowak 1999: 1332,"Smith and Xie, 2013: 98)",,
12,137,Ningxia CHN,312,Rodentia,Dipodidae ,Dipus_sagitta,Northern three-toed jerboa ,90,2,O,3,S,8,Nowak 1999: 1338,,,
12,138,Ningxia CHN,312,Rodentia,Dipodidae ,Allactaga_sibirica,Mongolian five-toed jerboa ,117.5,2,I,2,S,8,Nowak 1999: 1342,,,
12,139,Ningxia CHN,312,Rodentia,Sciuridae ,Spermophilus_dauricus,Alashan/Daurian ground squirrel ,542.5,4,O,3,T,4,Nowak 1999: 1256,,,
12,140,Ningxia CHN,312,Rodentia,Spalacidae ,Eospalax_fontanierii,Chinese zokor ,385,3,H,6,F,7,Smith and Xie 2013:100,,,
12,141,Ningxia CHN,312,Lagomorpha,Ochotonidae ,Ochotona_dauurica,Daurian pika ,262.5,3,H,6,Sf,6,Nowak 1999: 1718,,,
12,142,Ningxia CHN,312,Lagomorpha,Ochotonidae ,Ochotona_huangensis,Tsing-Ling pika ,262.5,3,H,6,T,4,Nowak 1999: 1718,,,
12,143,Ningxia CHN,312,Eulipotyphla,Soricidae ,Sorex_cylindricauda,Stripe-backed shrew ,10.05,1,I,2,T,4,Nowak 1999: 207,,,
13,144,Great Smoky Mountain TN,331,Didelphimorphia,Didelphidae,Didelphis_virginiana,virginia opossum,6000,5,O,3,Sc,3,0.5-5.5 kg (Nowak 1999; whole genus),,The locomotor mode is followed Nowak 1999,
13,145,Great Smoky Mountain TN,331,Soricomorpha,Soricidae,Sorex_cinereus,cinereus shrew,10,1,I,2,T,4,,,,
13,146,Great Smoky Mountain TN,331,Soricomorpha,Soricidae,Sorex_fumeus,smoky shrew,10,1,I,2,T,4,,,,
13,147,Great Smoky Mountain TN,331,Soricomorpha,Soricidae,Blarina_brevicauda,northern short-tailed shrew,25,1,I,2,T,4,15-30 (Nowak 1999; whole genus),F (Nowak 1999),,
13,148,Great Smoky Mountain TN,331,Soricomorpha,Talpidae,Parascalops_breweri,hairy-tailed mole,65,2,I,2,F,7,,,,
13,149,Great Smoky Mountain TN,331,Rodentia,Sciuridae,Sciurus_niger,eastern fox squirrel,1350,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
13,150,Great Smoky Mountain TN,331,Rodentia,Sciuridae,Sciurus_carolinensis,eastern gray squirrel,600,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
13,151,Great Smoky Mountain TN,331,Rodentia,Sciuridae,Tamias_striatus,eastern chipmunk,130,3,O,3,Sc,3,70-142 (Nowak 1999),,,
13,152,Great Smoky Mountain TN,331,Rodentia,Sciuridae,Tamiasciurus_hudsonicus,American red squirrel,240,3,G,4,Sc,3,,,,
13,153,Great Smoky Mountain TN,331,Rodentia,Sciuridae,Marmota_monax,woodchuck,4500,5,H,6,T,4,3-7.5kg (Nowak 1999),,,
13,154,Great Smoky Mountain TN,331,Rodentia,Cricetidae,Peromyscus_leucopus,white-footed mouse,20,1,O,3,Sc,3,15-110 (Nowak 1999; whoe genus),,,
